collocate,raw_frequency,MI
 jebson,1,13.127388576070851
 desire,1,8.820209832193402
 imperial,1,10.639281923552181
 laugier,1,12.747898954365947
 clasped,4,10.245600561866079
 shaped,1,11.44384269148303
 apology,1,11.038377583374865
 girl,1,7.5999455865310575
 serious,4,9.287109475501547
 nuisance,1,11.81077413558895
 attractive,1,11.082180206033257
 even,1,6.974983267193865
 seductive,2,13.166609289224134
 alluring,1,12.859124589476172
 replaced,1,11.502683191505962
 front,1,8.736745325136091
 woman,1,7.121793566619156
 yawned,1,11.852885620939078
 sa,1,13.249990898163185
 grow,1,9.70463043530212
 anxious,1,9.150586693777502
 lest,1,9.735206065504912
 merely,1,9.29457529201235
 thus,1,8.448110417929039
 comfortably,1,11.082180206033257
 cabin,2,10.828657052392796
 listen,1,9.340579996962964
 tightrope,1,14.439574965037021
 previous,1,10.001978479208327
 exciting,2,11.122794925187447
 alarm,1,10.162908846020965
 concierge,1,14.188260536756115
 montaigne,2,13.01818928410586
 point,2,8.401363155389406
 clicked,1,13.089648248088006
 hanging,1,9.8872029646159
 miraculous,1,12.095025672943942
 four,1,8.657950003616886
 ring,1,9.398918654685907
 delicately,1,11.335629106842797
 murmuring,1,11.395052527313597
 floor,1,9.040766059942662
 gr,1,14.999190752972444
 appeared,1,8.556252576548742
 repeating,1,10.938747742426024
 reason,1,8.388831238629725
 formidable,1,11.215001119054183
 earnestness,1,11.122794925187447
 kept,1,8.223824662036051
 stiff,1,10.123993429771291
 awkward,1,10.496607155759452
 weren,1,11.019509099070483
 bit,1,8.696114006562643
 sweet,1,8.763800115367722
 friday,1,11.077217416691129
 your,1,6.055978474500292
 knowing,4,9.09724071307221
 speed,1,10.493840902266562
 since,1,7.79429824276777
 due,1,9.67984601923233
 joyously,1,12.04167969223865
i'd ,1,11.209335381518505
 paris,1,9.69837650622582
 darling,2,9.226193209294768
 larue,2,15.692337933532388
 order,1,8.64178185591858
 ran,2,8.563040384603015
 drawingroom,1,9.362617028009693
 doorways,3,12.888977552625853
 loud,1,9.636725566600655
 clear,1,8.461050929204774
 altering,1,12.55684371760324
 laws,1,10.562439218609315
 concorde,1,13.294442660734019
 shall,1,6.9311011266942
 communication,2,10.695125659768273
 quicker,1,11.465504188264209
 wasn,2,9.448171032868652
 covered,1,9.510253026815757
 eiderdown,2,13.294442660734019
 unhappythe,1,16.385485114092333
 renewed,1,10.925899599948174
 twice,1,9.297911408534361
 programmeno,1,16.385485114092333
 quite,1,7.253863326827556
 au,2,12.04167969223865
 revoir,2,12.747898954365947
 well,2,6.783035089055145
 shan,1,10.357206593861635
 evidence,1,10.034599397377594
 newspaper,1,10.424479774469061
 haven,1,9.362617028009693
 changed,1,9.020938099836691
 whispered,1,9.319018143955375
 puffed,1,11.991035959419895
 voluptuously,1,14.306043572412499
 cigar,1,10.265187695141384
 exquisite,1,10.391523686785765
 damned,1,11.019509099070483
 sticky,1,13.612896391852553
 perhaps,1,7.531819686054884
 cr,1,15.286872825424224
 illusory,1,13.820535756630797
 sooner,1,9.684754004544523
 automobile,1,13.612896391852553
 nearly,1,8.97938173285532
 temporary,1,11.000990051303244
 headhousekeeper,1,11.852885620939078
 maid,2,9.337098705370451
 leaving,2,9.024745211034055
 house,2,7.053546770368664
 warning,1,10.247758060006099
 wired,1,13.49511335619617
 ill,1,8.862003801518837
 mystery,2,9.777484488796247
 mealtable,1,16.385485114092333
 tran,1,15.692337933532388
 force,1,9.143402754835371
 straightthinking,1,16.385485114092333
 faintly,1,10.568373954129129
 leak,1,13.820535756630797
 radiator,1,14.776047201658233
 purkin,1,12.136989872042975
 written,1,9.019039965764735
 except,1,8.654431970085206
 physical,1,10.213784516681418
 excuses,1,11.401878492383997
 tiresome,1,11.480210335653904
 entirely,1,9.394308226971125
 lost,1,8.358988175146921
 co,2,12.535337512382275
 memory,1,9.258594305193526
he'd ,1,12.108818995076279
 anyhowhe,2,16.385485114092333
 wa,1,15.692337933532388
 telephoned,2,12.747898954365947
 too,1,6.775429465988593
 upset,1,10.836409029197114
 las,1,13.820535756630797
 murmured,1,9.414755035948808
 casually,1,11.821136922624497
 suddenly,1,8.220405855287266
 decided,1,9.749538558405687
 visit,1,8.918114047174774
 difficulty,2,9.522727201040933
 thinks,1,9.610119023155942
 gone,1,7.665514357314759
 harbour,2,10.648912816613143
 myselfi,2,15.286872825424224
 state,1,8.60559999902181
 write,1,8.807851281489606
 carry,1,9.245032070991176
 conversing,1,11.97876586682808
 informed,1,10.079209827144318
 paid,1,9.138404529506577
 formal,1,10.836409029197114
 saved,1,9.744302944351743
 beautiful,1,8.39389283202424
 wistful,1,11.525672709730662
 grateful,1,9.954154032158856
 crossexamining,1,14.082900021098288
 barrister,1,11.581464069359077
 am,1,6.665619964083208
 find,1,7.766096410361427
 easychair,1,11.487645314141423
 discover,1,10.220067259860913
 gently,1,9.41757591229045
 chairman,1,11.597993371310288
 persuaded,1,10.610933568547926
 doing,1,8.516848219908166
 hurry,1,9.778834927894119
 dennis,1,11.658097295379994
 dover,1,11.63189492298597
 among,1,8.063820306957332
 summon,1,11.67595491278
 cushion,1,11.623311179294578
 fibber,1,15.692337933532388
 many,1,7.355228803969914
we've ,1,11.790365263957744
 lists,1,13.089648248088006
 closed,1,9.077612333328627
 reappeared,1,11.525672709730662
 held,1,8.203764658964225
 dead,1,8.134865031917641
 fidget,1,12.951497909607188
 fume,1,13.34096267636891
 removed,1,10.151074388373962
 tim,1,12.378151928859863
 enquiries,1,12.721923467962688
 absence,1,9.596513371100164
 either,1,8.449182420890374
 resign,1,11.44384269148303
 tedium,1,13.34096267636891
 bac,1,16.385485114092333
 thunderclap,1,13.987589841293964
 intensity,1,11.097218083397799
 violent,1,10.166884994400604
 drama,1,11.243821557589674
 good,1,6.642225000877095
 everybody,1,9.31136829789497
 grinned,1,11.84219033182233
 seconds,1,11.107370454861817
 contact,1,10.772357007704263
 service,1,9.122856513118093
 stockbroker,1,13.249990898163185
 whose,1,8.001594769990517
 conversations,1,11.760512300808063
 incommoded,1,14.082900021098288
 make,1,7.035556727909097
 slow,1,9.499975444057517
 reserved,1,10.896547387935648
 saving,1,10.876096777464356
 world,1,7.34084519789387
 black,1,8.0165599393452
 dar,1,15.286872825424224
 edward,1,9.653274407625128
 below,1,9.059019500252012
 plainly,1,10.114496682234034
 bed,1,8.31208214510593
 bless,1,9.709661892457486
 limited,1,11.067365120248118
 omniscience,1,14.306043572412499
 grunted,1,12.226602030732662
 brahim,1,16.385485114092333
 arm,1,8.390515591394456
 made,1,6.671464586511032
 movement,1,9.633214737950592
 brown,2,8.830626593051658
 companioned,1,16.385485114092333
 surrounded,1,10.469283051484899
 sheets,1,11.261521134689074
 full,1,7.918112617660053
 wing,1,10.824803483076806
 grinding,1,11.991035959419895
 musichall,1,13.294442660734019
 ditty,1,13.612896391852553
 syme,1,10.394020566984352
 interest,1,8.577162063701278
 conducted,1,11.175998961250913
 telegraph,1,12.136989872042975
 absorbed,1,10.158948444804869
 drawling,1,13.677434912990124
 heave,1,12.054751773806004
